"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","CLHat",9.538830645,9.535075,0.522014476118147,0.486596732999998,8.692078,10.40134,1.00647556064202,971.368503822049,1655.44938248412
"2","QHat",15.401097025,15.3865,1.01764592362477,1.0000137,13.74242,17.08989,0.99978912673605,2263.843016951,2447.0057479868
"3","V1Hat",37.3957567,37.3599,2.24371709013308,2.22797714999999,33.762085,41.05842,1.00081270964597,1936.47549544806,2372.81471966331
"4","V2Hat",101.697963625,101.3945,6.50328484394192,6.11913497999999,91.528845,112.53835,1.00066975455169,2580.22724448308,2592.92540528249
"5","kaHat",1.9965508925,1.997035,0.074250379942185,0.0739743269999999,1.8731675,2.1152685,1.00104990495583,7056.87679218803,2993.40570640778
"6","mttHat",113.6814935,113.2035,11.5061832080055,10.9104534,95.8074,133.51355,1.0007969984004,4255.90036198208,3269.64626098158
"7","circ0Hat",4.759941675,4.752385,0.240705814723294,0.229328568,4.374738,5.1634365,1.00163453569583,3774.92005610065,2783.66306514596
"8","alphaHat",0.000223555663,0.000219115,3.97066498031196e-05,3.80131227e-05,0.00016556745,0.00029575845,0.999981771094703,5138.1052156533,2807.32800993991
"9","omega[1]",0.22338302675,0.2167205,0.0473112113718186,0.0420873075,0.16030415,0.3066794,0.999967057451766,1751.86375108918,2235.60722359461
"10","omega[2]",0.33885321175,0.328697,0.0725556755436631,0.0665235207,0.2386942,0.47332215,1.00088442308683,2363.84308172928,2607.05624770577
"11","omega[3]",0.26419035125,0.2561515,0.057366595637092,0.051171939,0.1855509,0.36719745,1.0016945961829,2128.66000427632,2018.42466627482
"12","omega[4]",0.25728019175,0.24937,0.0559876513164105,0.051453633,0.1824551,0.3608287,1.00268892230508,2293.87700107425,2937.67284278495
"13","omega[5]",0.17676662379975,0.1691225,0.112139590846476,0.11766388032,0.018749695,0.37646,1.00040627246843,1550.48285129866,2045.02500480488
"14","omega[6]",0.188490174375,0.182823,0.0443591449388942,0.0407596392,0.126941,0.2685905,0.999973246036668,2377.6985288692,2965.71248117208
"15","omega[7]",0.40909614682925,0.394126,0.256228867292224,0.2585884203,0.04482511,0.86520015,1.00287340552762,1386.98751164805,2015.87334733967
"16","gamma",0.17132462085,0.1677175,0.0345107304793355,0.0325719807,0.12076925,0.2351624,1.00010084440939,8809.66797068759,3189.67601182118
"17","sigma",0.096578349975,0.09649835,0.00251619069387576,0.00250944876,0.092592005,0.10075985,1.00168208385363,5436.5084793392,2899.70592578653
"18","sigmaNeut",0.10596000595,0.1050495,0.0116856184000817,0.01141416675,0.088261635,0.1265513,1.00017386278278,2809.05862331637,3031.60504930324
