# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = mpi_sample.4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,y.1.4,y.2.4,y.1.5,y.2.5,y.1.6,y.2.6,y.1.7,y.2.7,y.1.8,y.2.8,y.1.9,y.2.9,y.1.10,y.2.10,y.1.11,y.2.11,y.1.12,y.2.12,y.1.13,y.2.13,y.1.14,y.2.14
# Adaptation terminated
# Step size = 0.605946
# Diagonal elements of inverse mass matrix:
# 0.0670025, 0.062195, 0.0557594, 0.0943102, 0.0246215, 0.028022
-14.4363,0.812645,0.605946,2,3,0,16.0126,2.10034,0.884861,0.943216,0.600377,2.7048,3.25574,0.0874714,0.758833,0.295861,-0.0266954,0.220965,-0.0868213,0.145241,-0.0630574,0.0936949,-0.0412878,0.0602623,-0.0266185,0.00661441,-0.002923,0.0852111,0.71808,0.254975,-0.0332024,0.194732,-0.0639099,0.138892,-0.0475297,0.0985683,-0.0338359,0.0699247,-0.024009,0.0125612,-0.00431304
-14.7802,0.93787,0.605946,3,7,0,17.72,0.638783,1.06845,0.972932,0.847765,3.19203,3.15082,0.0854683,0.722678,0.259171,-0.0328294,0.197391,-0.066092,0.139689,-0.0489883,0.0982798,-0.0345951,0.0691127,-0.0243356,0.0118831,-0.00418434,0.0856353,0.725668,0.261953,-0.032545,0.199157,-0.0675601,0.140198,-0.0499709,0.0980621,-0.035099,0.0685515,-0.0245453,0.0114414,-0.00409683
-13.8977,0.993986,0.605946,3,7,0,18.6827,0.746852,1.21606,1.26052,0.612916,3.21771,2.71386,0.0853645,0.720821,0.257465,-0.0329891,0.196309,-0.0652,0.139369,-0.0483919,0.0984029,-0.0342862,0.0694479,-0.0242043,0.0121572,-0.00423716,0.0874335,0.758145,0.295096,-0.0268759,0.220466,-0.0863594,0.14515,-0.0627376,0.0938288,-0.0411472,0.0604786,-0.0265827,0.00671102,-0.00295103
-13.2878,0.947718,0.605946,3,7,0,17.4102,0.907067,1.38661,0.975966,0.810876,3.57787,2.58715,0.0839265,0.695272,0.235537,-0.0340596,0.182448,-0.0543178,0.134745,-0.0411232,0.0992771,-0.0303368,0.0731362,-0.0223502,0.0158685,-0.00484937,0.0879646,0.767831,0.306123,-0.0240611,0.227714,-0.0931322,0.146357,-0.0674675,0.0917379,-0.0431799,0.0572295,-0.0270441,0.00537804,-0.00254383
-13.5176,0.939704,0.605946,3,7,0,16.2891,1.37738,0.8361,0.839405,0.699871,2.24031,3.53887,0.089441,0.794982,0.340258,-0.0124696,0.250887,-0.11562,0.148778,-0.0839244,0.0829996,-0.0495763,0.0453655,-0.0276231,0.00210436,-0.001295,0.0840806,0.697995,0.237743,-0.0340337,0.183841,-0.0553636,0.135254,-0.0418228,0.0992487,-0.0307324,0.0728179,-0.0225498,0.0154806,-0.00479395
-12.1446,0.972392,0.605946,3,7,0,15.122,1.24864,1.26259,0.903806,0.49822,3.0752,2.8478,0.0859429,0.731188,0.2672,-0.0319278,0.202494,-0.0703766,0.141119,-0.0518596,0.0975938,-0.0360512,0.0674434,-0.024926,0.0106257,-0.0039273,0.0868769,0.748038,0.284176,-0.0292082,0.213376,-0.0799028,0.143742,-0.0583026,0.0955603,-0.039145,0.0634195,-0.0260126,0.00815456,-0.00334538
-12.191,0.918654,0.605946,3,7,0,13.5736,1.22514,1.01406,0.844419,0.937776,2.92438,2.692,0.0865608,0.742321,0.278249,-0.0302832,0.20956,-0.0765055,0.142887,-0.0559932,0.0963606,-0.0380625,0.0649003,-0.0256596,0.00898698,-0.00355363,0.0875248,0.759807,0.296948,-0.0264353,0.221676,-0.0874794,0.145368,-0.0635138,0.0935018,-0.0414877,0.0599526,-0.0266685,0.00647821,-0.0028831
-12.5036,0.951929,0.605946,2,7,0,14.27,1.17631,1.00577,1.32038,0.676797,2.79855,3.55703,0.087081,0.751739,0.288107,-0.0284209,0.215919,-0.0821981,0.144274,-0.0598719,0.0949754,-0.0398647,0.0623924,-0.0262301,0.00762112,-0.0032048,0.0840088,0.696725,0.236711,-0.0340481,0.183189,-0.0548728,0.135017,-0.0414946,0.0992636,-0.0305472,0.0729683,-0.0224567,0.0156617,-0.00482007
-12.796,0.979329,0.605946,2,7,0,13.1846,1.20339,1.08788,1.28617,0.604604,2.7896,3.71945,0.0871182,0.752413,0.288832,-0.0282693,0.216389,-0.082625,0.144369,-0.0601645,0.0948629,-0.0399975,0.0621992,-0.0262688,0.00752443,-0.00317869,0.0833703,0.685478,0.227841,-0.034009,0.177584,-0.0507548,0.132889,-0.0387348,0.099271,-0.0289602,0.074152,-0.0216331,0.0172432,-0.00503053
-12.8503,0.663679,0.605946,2,3,0,18.0416,1.23575,1.1073,1.2564,0.999336,3.00625,3.00252,0.0862246,0.736257,0.272152,-0.0312486,0.205654,-0.0730904,0.141939,-0.0536853,0.0970826,-0.0369515,0.0663386,-0.0252666,0.00987764,-0.00376242,0.0862399,0.736532,0.272424,-0.0312085,0.205828,-0.0732411,0.141983,-0.0537869,0.0970526,-0.0370011,0.0662763,-0.0252847,0.00983716,-0.00375323
-13.2192,0.917009,0.605946,3,7,0,16.9468,1.01179,1.1817,0.938229,1.16312,2.75308,3.45762,0.08727,0.755171,0.291823,-0.0276226,0.218332,-0.0843977,0.144751,-0.0613831,0.0943829,-0.040546,0.061389,-0.0264231,0.0071311,-0.00307043,0.0844029,0.7037,0.242464,-0.0339173,0.186822,-0.0576384,0.13631,-0.0433427,0.0991431,-0.0315802,0.0720967,-0.0229675,0.0146607,-0.00467043
-14.7762,0.918718,0.605946,2,3,0,15.5201,0.83345,1.25043,0.924685,1.38969,2.81414,3.23422,0.0870163,0.750565,0.286852,-0.0286786,0.215106,-0.0814617,0.144107,-0.0593676,0.0951668,-0.0396348,0.0627242,-0.0261621,0.00778977,-0.00324987,0.0852979,0.719629,0.256378,-0.0330851,0.19562,-0.0646352,0.139162,-0.0480143,0.0984772,-0.0340896,0.0696578,-0.0241196,0.0123329,-0.00427046
-14.2999,0.900325,0.605946,2,7,0,19.1291,1.1155,1.20117,1.33312,1.22082,2.75048,3.01504,0.0872809,0.755368,0.292038,-0.0275749,0.218472,-0.0845257,0.144777,-0.0614713,0.0943475,-0.0405854,0.06133,-0.0264339,0.00710321,-0.00306262,0.0861886,0.735608,0.271511,-0.0313418,0.205245,-0.0727362,0.141836,-0.0534467,0.0971526,-0.0368349,0.0664848,-0.0252236,0.00997321,-0.003784
-14.502,0.93595,0.605946,3,7,0,17.4311,1.64727,1.03639,0.656412,0.683387,3.16045,4.01058,0.0855963,0.724969,0.261298,-0.0326146,0.198741,-0.0672129,0.14008,-0.0497385,0.0981153,-0.0349803,0.0686852,-0.0244965,0.0115448,-0.00411759,0.0822425,0.66577,0.213416,-0.033338,0.168437,-0.0444348,0.12907,-0.0344656,0.0988149,-0.0263965,0.0756498,-0.0202086,0.0198946,-0.00531451
-12.949,1,0.605946,3,7,0,15.1341,1.21707,1.18633,1.22633,0.682433,2.9917,2.40815,0.0862842,0.737331,0.273218,-0.0310901,0.206336,-0.0736814,0.14211,-0.0540839,0.0969638,-0.0371455,0.0660935,-0.0253374,0.00971951,-0.00372636,0.0887224,0.781725,0.322968,-0.0188788,0.238996,-0.103952,0.147795,-0.0752256,0.0878627,-0.0463129,0.0517193,-0.0275025,0.0035967,-0.0019185
-13.0842,0.958966,0.605946,2,7,0,14.704,1.06742,1.43639,1.0177,0.697969,2.74125,2.40648,0.0873193,0.756067,0.292804,-0.0274032,0.218971,-0.0849831,0.144872,-0.0617866,0.0942201,-0.040726,0.0611188,-0.026472,0.00700409,-0.00303475,0.0887295,0.781856,0.323133,-0.018823,0.239107,-0.104061,0.147807,-0.0753047,0.0878207,-0.0463437,0.0516622,-0.0275054,0.00358088,-0.00191244
-12.5737,0.866503,0.605946,3,7,0,19.286,0.937709,0.800896,0.748818,0.659184,3.43161,2.86002,0.0845064,0.705537,0.244012,-0.033861,0.1878,-0.0583954,0.136647,-0.0438481,0.0990951,-0.0318587,0.0718484,-0.0231017,0.014395,-0.0046285,0.0868263,0.747123,0.283215,-0.0293916,0.212756,-0.0793468,0.143608,-0.0579237,0.0956967,-0.0389693,0.0636651,-0.0259574,0.00828722,-0.00337946
-12.9747,0.882499,0.605946,3,7,0,15.5071,1.21616,1.24893,1.20319,0.940758,2.87895,3.51791,0.0867481,0.745708,0.281739,-0.0296665,0.211805,-0.0784966,0.143398,-0.0573449,0.0959012,-0.0386995,0.0640382,-0.025871,0.00849279,-0.00343159,0.0841636,0.699462,0.238945,-0.034012,0.1846,-0.0559378,0.135527,-0.0422065,0.0992276,-0.030948,0.0726395,-0.0226573,0.0152706,-0.00476315
-12.6328,0.985747,0.605946,3,7,0,14.0759,0.912329,1.11326,1.00267,0.577227,2.83164,2.45406,0.0869438,0.74925,0.285455,-0.0289584,0.214203,-0.0806462,0.143918,-0.05881,0.0953747,-0.0393791,0.0630892,-0.0260849,0.00797927,-0.00329982,0.0885272,0.778137,0.318498,-0.0203573,0.235974,-0.101026,0.14746,-0.0731007,0.0889728,-0.0454776,0.0532466,-0.0274118,0.00403859,-0.00208379
