# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.640466
# Diagonal elements of inverse mass matrix:
# 0.0537805, 0.0674089, 0.0642191, 0.0801114, 0.0215514, 0.0294087
-14.9053,0.865542,0.640466,2,3,0,17.0417,1.04459,1.0795,1.83519,0.517326,3.3585,2.81482,0.0847984,0.0870135,0.248462,0.286798,0.190611,0.215071,0.137587,0.1441,0.0989209,0.095175,0.0711023,0.0627385,0.0136402,0.00779709,0.710724,0.750514,-0.0336486,-0.0286896,-0.0606013,-0.08143,-0.0453206,-0.0593458,-0.0326602,-0.0396249,-0.0234791,-0.0261592,-0.00450426,-0.00325182
-17.3061,0.795094,0.640466,3,7,0,20.465,0.669644,0.763699,1.33195,1.04499,3.51547,3.03795,0.0841732,0.0860949,0.239085,0.269855,0.184688,0.204187,0.135559,0.141564,0.0992249,0.0973281,0.0726185,0.0668582,0.0152461,0.010222,0.699633,0.733922,-0.0340091,-0.0315754,-0.0560051,-0.0718247,-0.0422515,-0.052833,-0.0309732,-0.0365336,-0.0226698,-0.0251109,-0.00475952,-0.00383947
-14.6377,1,0.640466,2,3,0,18.5621,0.790974,0.778774,1.07945,1.05187,3.08209,2.77178,0.0859148,0.0871922,0.266714,0.290285,0.202185,0.217332,0.141036,0.144556,0.0976403,0.0946329,0.0675487,0.0618083,0.0107002,0.00733227,0.730683,0.753758,-0.0319894,-0.0279595,-0.0701132,-0.0834836,-0.0516827,-0.0607541,-0.0359629,-0.0402638,-0.0248916,-0.0263447,-0.00394323,-0.00312622
-13.88,0.986362,0.640466,2,7,0,15.8221,1.01715,0.755726,1.13186,1.07396,3.01198,2.90493,0.0862012,0.0866409,0.271734,0.279733,0.205387,0.210514,0.141872,0.143107,0.0971284,0.0961693,0.0664341,0.0645371,0.00993992,0.00877537,0.735834,0.743769,-0.0313095,-0.0300266,-0.0728593,-0.0773492,-0.0535296,-0.0565653,-0.0368755,-0.0383333,-0.0252386,-0.0257508,-0.0037765,-0.00350193
-12.5627,1,0.640466,3,7,0,15.5543,1.11424,1.39611,1.31583,0.641009,3.07823,2.97766,0.0859305,0.0863418,0.266986,0.274253,0.202358,0.206998,0.141082,0.142274,0.0976144,0.0968454,0.0674898,0.0658527,0.0106585,0.00956684,0.730966,0.738368,-0.0319551,-0.030932,-0.0702605,-0.0742582,-0.0517816,-0.0544731,-0.0360123,-0.0373341,-0.0249109,-0.0254054,-0.00393433,-0.00369114
-13.1981,0.921174,0.640466,2,7,0,15.07,1.2817,0.78228,1.01792,1.03177,3.1102,3.12362,0.0858004,0.0857458,0.264748,0.263819,0.200934,0.200343,0.140695,0.140532,0.097822,0.0979042,0.0679691,0.0681648,0.0110039,0.0111487,0.728628,0.727649,-0.0322293,-0.0323376,-0.069053,-0.0685548,-0.0509714,-0.0506373,-0.035606,-0.0354374,-0.0247507,-0.024683,-0.00400721,-0.00403719
