# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2541586377
# output
#   file = sample1.mpi.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,y.1.4,y.2.4,y.1.5,y.2.5,y.1.6,y.2.6,y.1.7,y.2.7,y.1.8,y.2.8,y.1.9,y.2.9,y.1.10,y.2.10,y.1.11,y.2.11,y.1.12,y.2.12,y.1.13,y.2.13,y.1.14,y.2.14
# Adaptation terminated
# Step size = 0.626812
# Diagonal elements of inverse mass matrix:
# 0.0542138, 0.0612397, 0.0490407, 0.0757948, 0.031163, 0.028211
-13.0613,0.998238,0.626812,2,7,0,13.6886,0.942139,1.06967,0.810346,0.443174,3.53404,3.14216,0.0840997,0.698332,0.238019,-0.0340292,0.184015,-0.0554951,0.135317,-0.0419106,0.0992442,-0.0307818,0.0727773,-0.0225745,0.0154323,-0.00478692,0.0856705,0.726299,0.262545,-0.0324806,0.199533,-0.0678747,0.140305,-0.0501816,0.0980131,-0.0352063,0.0684297,-0.0245893,0.0113483,-0.004078
-13.7808,0.999718,0.626812,3,7,0,14.7588,1.18021,1.60379,1.0047,1.00424,2.5806,3.15369,0.0879922,0.768335,0.306713,-0.0238976,0.228104,-0.0935016,0.146416,-0.067728,0.0916162,-0.043289,0.0570477,-0.0270654,0.00531036,-0.00252191,0.0856237,0.72546,0.261757,-0.0325659,0.199033,-0.0674564,0.140163,-0.0499015,0.0980781,-0.0350636,0.0685915,-0.0245308,0.0114723,-0.00410303
-14.21,0.961167,0.626812,3,7,0,15.5961,1.12155,0.728035,0.896934,0.551157,3.56272,2.45789,0.0839863,0.696328,0.23639,-0.0340517,0.182986,-0.0547206,0.134943,-0.0413927,0.0992677,-0.0304896,0.0730146,-0.0224276,0.0157182,-0.00482814,0.0885109,0.777839,0.318129,-0.0204757,0.235727,-0.100787,0.147431,-0.0729279,0.0890615,-0.045409,0.0533702,-0.0274033,0.00407598,-0.00209744
-14.8416,0.834907,0.626812,3,7,0,19.0328,1.14129,1.6115,1.38074,0.76285,2.84663,3.86789,0.0868817,0.748126,0.284268,-0.0291904,0.213436,-0.0799562,0.143755,-0.058339,0.0955471,-0.0391619,0.0633958,-0.0260178,0.00814187,-0.00334211,0.0827926,0.675358,0.220263,-0.0337487,0.172786,-0.0473768,0.130939,-0.0364596,0.0991043,-0.0276106,0.0750059,-0.0208972,0.0186255,-0.00518919
-13.9861,0.9249,0.626812,3,7,0,21.0814,1.09586,1.16858,0.558568,0.720546,3.28178,2.55658,0.0851062,0.716208,0.253295,-0.0333329,0.193668,-0.0630474,0.138563,-0.0469536,0.0986703,-0.0335323,0.0702381,-0.023875,0.0128365,-0.00436338,0.0880934,0.770186,0.308891,-0.0232824,0.229549,-0.0948716,0.146627,-0.0686969,0.0911582,-0.0436922,0.0563695,-0.0271407,0.00506379,-0.00244091
-12.5536,0.780194,0.626812,2,3,0,17.7578,1.32176,0.94919,0.942863,0.877495,2.60048,3.53684,0.0879086,0.766806,0.30493,-0.0243878,0.226925,-0.0923874,0.146237,-0.0669429,0.091981,-0.0429594,0.0575946,-0.027,0.00551603,-0.00258814,0.0840886,0.698136,0.237859,-0.0340319,0.183914,-0.0554187,0.13528,-0.0418595,0.0992468,-0.0307531,0.0728009,-0.0225602,0.0154604,-0.00479101
