# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2533899065
# output
#   file = sample3.stan.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.679801
# Diagonal elements of inverse mass matrix:
# 0.0587818, 0.0658752, 0.0613429, 0.0699848, 0.030212, 0.0245096
-13.3008,0.638486,0.679801,3,7,0,18.4074,1.42611,1.18848,1.0035,0.991463,2.79892,2.60192,0.0870795,0.0879025,0.288077,0.304801,0.2159,0.226839,0.14427,0.146224,0.0949801,0.092007,0.0624005,0.057634,0.00762517,0.00553107,0.751711,0.766695,-0.0284272,-0.0244229,-0.0821803,-0.0923069,-0.0598596,-0.0668863,-0.0398591,-0.0429355,-0.0262285,-0.0269952,-0.00320589,-0.00259294
-14.8983,0.798142,0.679801,2,3,0,18.5125,1.4302,1.75139,0.614071,0.725869,3.43195,2.94628,0.0845051,0.0864707,0.243992,0.276594,0.187787,0.208498,0.136642,0.142636,0.0990958,0.0965667,0.0718517,0.0652992,0.0143985,0.00922534,0.705513,0.740694,-0.0338618,-0.0305593,-0.0583854,-0.0755705,-0.0438414,-0.0553601,-0.031855,-0.0377607,-0.0230999,-0.0255559,-0.00462906,-0.00361088
-12.9025,0.988393,0.679801,3,7,0,16.3068,1.28647,0.864116,1.05052,0.628628,2.39819,3.53827,0.0887648,0.084083,0.323952,0.237778,0.239663,0.183863,0.147864,0.135262,0.0876105,0.0992481,0.051377,0.0728128,0.00350254,0.0154746,0.782506,0.698037,-0.0185436,-0.0340332,-0.104601,-0.05538,-0.0756997,-0.0418337,-0.0464971,-0.0307385,-0.0275194,-0.0225529,-0.00188228,-0.00479308
-13.5226,0.95733,0.679801,2,3,0,16,1.14436,1.10762,0.895788,0.654792,4.17214,3.25241,0.0816256,0.0852245,0.206137,0.255191,0.163792,0.194868,0.126968,0.138934,0.0983608,0.0985546,0.0761979,0.0698839,0.0212592,0.0125259,0.655079,0.718319,-0.0327243,-0.0331848,-0.0414214,-0.0640213,-0.0324081,-0.0476041,-0.0251122,-0.0338749,-0.019454,-0.0240261,-0.00542766,-0.00430651
-13.8622,0.780254,0.679801,3,7,0,17.4496,1.10375,1.3294,1.5047,0.494969,3.32773,3.07548,0.0849217,0.0859417,0.25038,0.26718,0.191824,0.202482,0.13798,0.141115,0.0988291,0.0975957,0.070766,0.0674478,0.0133191,0.0106288,0.712919,0.731167,-0.0335339,-0.0319304,-0.0615658,-0.0703656,-0.0459644,-0.0518522,-0.0330061,-0.0360475,-0.023638,-0.0249246,-0.00444907,-0.00392796
-14.9777,0.822294,0.679801,3,7,0,17.9405,1.35052,0.825889,0.584379,0.922285,2.38839,3.28716,0.0888066,0.0850846,0.324925,0.252951,0.240325,0.19345,0.147931,0.138495,0.0873581,0.0986903,0.0510361,0.0703015,0.00341045,0.0128932,0.783274,0.715823,-0.0182085,-0.0333584,-0.105245,-0.0628714,-0.0761712,-0.0468361,-0.0466795,-0.0334701,-0.0275349,-0.0238473,-0.00184651,-0.00437362
-12.8943,0.933471,0.679801,3,7,0,17.4373,0.957747,0.947493,1.15666,0.584836,3.80768,3.18503,0.0830262,0.0854967,0.223278,0.25964,0.174697,0.197689,0.13173,0.139776,0.0991898,0.0982446,0.0746837,0.0690193,0.0180723,0.0118082,0.679445,0.723186,-0.033877,-0.0327835,-0.0487056,-0.0663383,-0.0373562,-0.0491531,-0.0281469,-0.03468,-0.0211934,-0.0243713,-0.00512849,-0.00416971
-14.3778,0.925264,0.679801,3,7,0,15.9272,1.36839,1.63886,0.683103,0.814111,2.39773,3.21203,0.0887668,0.0853875,0.323998,0.25784,0.239694,0.196547,0.147867,0.13944,0.0875987,0.0983765,0.0513611,0.0693748,0.00349819,0.0120967,0.782542,0.721231,-0.018528,-0.032955,-0.104631,-0.0653956,-0.0757218,-0.0485226,-0.0465057,-0.0343541,-0.0275201,-0.0242333,-0.0018806,-0.00422561
-11.6618,0.993547,0.679801,3,7,0,15.2039,1.02781,1.05434,0.936072,0.557531,3.39466,3.49339,0.0846538,0.0842608,0.246243,0.240365,0.189209,0.185496,0.137123,0.135846,0.0990145,0.0991976,0.0714804,0.0724241,0.0140149,0.0150236,0.708153,0.701183,-0.0337639,-0.0339794,-0.0594955,-0.0566206,-0.0445825,-0.0426628,-0.0322602,-0.0312029,-0.0232924,-0.0227833,-0.00456691,-0.00472618
-13.6187,0.616312,0.679801,3,7,0,18.1659,1.47854,1.57222,0.80621,0.778557,2.67956,2.68893,0.0875769,0.0875377,0.298012,0.29721,0.222373,0.221848,0.14549,0.145398,0.0933096,0.0934548,0.0596468,0.0598775,0.00634609,0.00644555,0.760755,0.760041,-0.0261763,-0.0263719,-0.088126,-0.0876385,-0.063963,-0.0636243,-0.0416835,-0.041536,-0.0267163,-0.0266803,-0.00284398,-0.00287347
-13.2522,0.991171,0.679801,3,7,0,15.2066,0.839457,0.75148,0.997289,0.612482,3.08684,3.6072,0.0858955,0.0838109,0.26638,0.233904,0.201972,0.181416,0.140978,0.134361,0.0976719,0.0992894,0.0676207,0.0733641,0.0107516,0.0161575,0.730336,0.693232,-0.0320312,-0.0340671,-0.0699325,-0.0535503,-0.0515615,-0.0406096,-0.0359023,-0.0300441,-0.0248679,-0.0222006,-0.00395415,-0.00488943
-13.8171,0.431178,0.679801,2,7,0,24.3951,1.89959,1.13799,0.676328,0.744631,3.16193,3.18833,0.0855903,0.0854833,0.261198,0.259419,0.198677,0.197548,0.140061,0.139735,0.0981233,0.0982613,0.0687056,0.0690634,0.0115607,0.0118435,0.724861,0.722946,-0.0326251,-0.0328052,-0.0671599,-0.066222,-0.049703,-0.0490753,-0.0349622,-0.0346399,-0.024489,-0.0243545,-0.00412075,-0.00417662
-13.7545,0.970083,0.679801,3,7,0,16.0849,1.41514,1.1337,0.953847,0.653398,2.51815,4.03057,0.0882557,0.0821658,0.312433,0.212488,0.231908,0.167846,0.146953,0.128809,0.0903838,0.0987655,0.0552431,0.0757276,0.00467386,0.0200677,0.773158,0.664438,-0.0222439,-0.0332698,-0.0971198,-0.0440443,-0.0702956,-0.0342,-0.0443492,-0.0262325,-0.0272524,-0.0201137,-0.0023091,-0.0053301
-14.6601,0.930625,0.679801,3,7,0,17.8112,0.864153,0.966938,1.126,1.01191,3.3757,2.28197,0.0847296,0.0892619,0.247402,0.335822,0.189941,0.247803,0.137366,0.148572,0.0989673,0.084335,0.0712843,0.0470642,0.0138187,0.00245401,0.7095,0.79167,-0.033706,-0.014218,-0.0600718,-0.112574,-0.0449671,-0.0816171,-0.0324691,-0.0487334,-0.0233903,-0.0276287,-0.00453435,-0.00145169
-13.5767,0.966265,0.679801,3,7,0,17.055,1.43194,0.995837,1.1939,0.510528,3.07914,2.48834,0.0859268,0.0883818,0.266922,0.315229,0.202317,0.233779,0.141071,0.147194,0.0976205,0.0897467,0.0675038,0.0543332,0.0106684,0.00437585,0.730899,0.77547,-0.0319632,-0.0213911,-0.0702256,-0.098912,-0.0517582,-0.0715781,-0.0360006,-0.0448689,-0.0249064,-0.027331,-0.00393643,-0.00220511
-15.0004,0.723495,0.679801,3,7,0,18.8891,0.845457,1.15824,0.659191,1.17476,2.99249,3.7618,0.086281,0.0832049,0.27316,0.225629,0.206299,0.176186,0.142101,0.132333,0.0969703,0.0992389,0.0661068,0.0744163,0.00972805,0.0176439,0.737272,0.682576,-0.0310988,-0.0339544,-0.0736493,-0.0497557,-0.0540622,-0.0380632,-0.037135,-0.0285657,-0.0253336,-0.0214213,-0.00372832,-0.00507892
-15.212,0.811844,0.679801,3,7,0,19.673,1.53046,1.07458,1.20973,0.451294,2.97505,2.32213,0.0863525,0.0890897,0.274447,0.331638,0.207122,0.244915,0.142304,0.148349,0.0968229,0.0855388,0.0658074,0.0486229,0.00953845,0.00280497,0.738561,0.788491,-0.030902,-0.0158017,-0.0743661,-0.109734,-0.054546,-0.0794892,-0.0373693,-0.0479421,-0.025418,-0.0276103,-0.00368455,-0.00160186
-16.0479,0.950172,0.679801,3,7,0,20.2672,1.08362,1.31417,1.70076,0.492755,3.20916,2.3112,0.0853991,0.0891365,0.25803,0.332768,0.196668,0.245694,0.139476,0.148412,0.098363,0.0852188,0.0693376,0.0482058,0.0120661,0.00270812,0.721439,0.789356,-0.0329374,-0.01538,-0.0654948,-0.110498,-0.048589,-0.0800596,-0.0343885,-0.0481556,-0.024248,-0.0276175,-0.00421974,-0.00156108
-16.9481,0.864363,0.679801,3,7,0,20.2912,1.58833,0.872352,0.567881,1.0803,2.30062,3.57821,0.0891819,0.0839251,0.333868,0.235518,0.246452,0.182436,0.148472,0.13474,0.0849038,0.0992772,0.0477972,0.0731389,0.00261532,0.0158718,0.790193,0.695249,-0.0149653,-0.0340597,-0.111244,-0.0543089,-0.0806178,-0.0411173,-0.0483635,-0.0303334,-0.0276229,-0.0223485,-0.00152154,-0.00484984
-15.9072,0.96963,0.679801,3,7,0,24.202,0.842519,1.54905,1.45335,0.659902,3.04824,2.21583,0.0860529,0.0895465,0.269117,0.342911,0.203716,0.252743,0.141442,0.148886,0.0974039,0.0821715,0.0670225,0.0443267,0.0103336,0.00190633,0.733166,0.796934,-0.0316761,-0.0113898,-0.0714206,-0.117458,-0.0525612,-0.0853304,-0.0363995,-0.0500826,-0.0250601,-0.027607,-0.00386401,-0.00120271
-13.4442,1,0.679801,3,7,0,17.3171,1.50218,0.866401,0.969443,0.574874,3.1679,2.40899,0.0855661,0.0887188,0.260794,0.322885,0.198421,0.238939,0.139988,0.147789,0.0981554,0.0878839,0.0687876,0.0517482,0.0116247,0.00360472,0.724428,0.781659,-0.0326671,-0.018907,-0.0669462,-0.103897,-0.0495599,-0.0751856,-0.0348889,-0.0462974,-0.0244586,-0.0275011,-0.00413351,-0.00192157
-13.3075,0.950488,0.679801,3,7,0,15.7417,0.846998,1.68073,0.807866,0.761317,2.9441,3.01809,0.0864797,0.0861762,0.276758,0.27129,0.208603,0.205103,0.142661,0.1418,0.0965467,0.0971765,0.06526,0.0665351,0.00920161,0.0100063,0.740855,0.735384,-0.0305324,-0.0313736,-0.0756629,-0.0726139,-0.0554226,-0.0533643,-0.0377905,-0.0367946,-0.0255662,-0.0252086,-0.00360523,-0.00379145
-14.6184,0.754216,0.679801,3,7,0,18.2821,1.71339,0.684577,0.977175,0.553628,3.16165,3.3255,0.0855914,0.0849306,0.261217,0.25052,0.198689,0.191913,0.140065,0.138008,0.0981218,0.098822,0.0687018,0.0707411,0.0115577,0.0132958,0.724882,0.713078,-0.0326231,-0.033525,-0.0671699,-0.0616365,-0.0497097,-0.0460116,-0.0349656,-0.0330314,-0.0244904,-0.0236495,-0.00412015,-0.004445
-14.3943,0.866666,0.679801,3,7,0,19.1734,1.59303,1.30462,0.634235,0.765924,2.56069,2.63212,0.0880761,0.0877756,0.308517,0.302128,0.229301,0.225077,0.146591,0.145945,0.0912379,0.0925355,0.0564869,0.058439,0.0051058,0.00584604,0.769869,0.764379,-0.0233894,-0.0251339,-0.0946354,-0.0906499,-0.0685296,-0.0657237,-0.0436229,-0.0424421,-0.0271281,-0.0268909,-0.00245484,-0.002692
-13.1271,1,0.679801,3,7,0,15.3404,0.779842,1.31744,1.10478,0.588753,3.35811,2.99852,0.0848,0.0862563,0.248487,0.272717,0.190627,0.206015,0.137592,0.14203,0.0989198,0.09702,0.071098,0.066209,0.0136361,0.0097937,0.710752,0.736827,-0.0336472,-0.0311651,-0.0606135,-0.0734033,-0.0453288,-0.0538963,-0.0326646,-0.0370543,-0.0234812,-0.0253042,-0.00450356,-0.00374333
-14.8486,0.732837,0.679801,3,7,0,17.7748,0.73416,1.24088,1.3637,0.593514,3.43164,2.65614,0.0845063,0.0876749,0.244011,0.300032,0.187799,0.223698,0.136646,0.145717,0.0990952,0.0929358,0.0718486,0.059059,0.0143953,0.00609847,0.705535,0.762542,-0.033861,-0.0256728,-0.0583946,-0.0893602,-0.0438475,-0.0648225,-0.0318584,-0.0420556,-0.0231015,-0.026804,-0.00462855,-0.00276951
-14.8755,0.813851,0.679801,3,7,0,19.8574,1.94621,0.851237,0.650726,0.735895,2.6841,3.37564,0.0875579,0.0847298,0.297623,0.247406,0.222118,0.189944,0.145446,0.137367,0.0933803,0.0989671,0.0597589,0.0712837,0.00639426,0.0138181,0.760409,0.709505,-0.0262715,-0.0337058,-0.0878893,-0.0600736,-0.0637985,-0.0449684,-0.0416119,-0.0324698,-0.0266989,-0.0233906,-0.00285829,-0.00453424
-14.1293,0.942056,0.679801,3,7,0,18.1349,0.702616,1.33101,1.19232,0.663738,2.97147,2.99042,0.0863672,0.0862895,0.274712,0.273312,0.207292,0.206396,0.142346,0.142125,0.0967919,0.0969531,0.0657451,0.0660716,0.00949948,0.00970555,0.738826,0.737425,-0.0308606,-0.0310759,-0.0745145,-0.0737339,-0.0546462,-0.0541193,-0.0374177,-0.0371627,-0.0254352,-0.0253436,-0.00367547,-0.00372316
-12.5877,0.735258,0.679801,2,7,0,19.574,1.35119,1.20283,0.701344,0.523528,3.40171,2.98366,0.0846256,0.0863172,0.245814,0.27381,0.188938,0.206715,0.137032,0.142204,0.0990311,0.0968964,0.071552,0.0659561,0.0140877,0.00963208,0.707653,0.737925,-0.033784,-0.0310002,-0.0592832,-0.074011,-0.0444408,-0.0543062,-0.032183,-0.0372533,-0.023256,-0.0253764,-0.00457885,-0.00370624
-12.1467,1,0.679801,3,7,0,12.7492,1.30185,1.20869,0.707874,0.529842,3.21725,3.16539,0.0853664,0.0855762,0.257495,0.260963,0.196328,0.198528,0.139375,0.140019,0.0984008,0.098142,0.069442,0.0687533,0.0121523,0.0115979,0.720854,0.72461,-0.0329864,-0.0326495,-0.0652157,-0.0670358,-0.0484024,-0.0496198,-0.0342917,-0.0349196,-0.0242066,-0.0244713,-0.00423624,-0.00412816
-14.4871,0.660093,0.679801,3,7,0,17.673,1.14255,0.939867,1.21411,0.885096,2.04029,2.94562,0.0903078,0.0864734,0.362993,0.276644,0.267093,0.20853,0.149343,0.142644,0.0751685,0.0965606,0.0358963,0.0652873,0.000679419,0.00921812,0.811073,0.740743,-0.00240196,-0.0305511,-0.131758,-0.0755986,-0.0966362,-0.0553791,-0.0539784,-0.0377698,-0.0271559,-0.025559,-0.000551103,-0.00360916
-14.6437,0.919936,0.679801,3,7,0,18.6021,1.14197,1.01393,0.905434,0.392545,2.76334,3.85413,0.0872273,0.0828459,0.290977,0.220945,0.217782,0.173219,0.144644,0.13112,0.0945212,0.0991259,0.0616202,0.074935,0.00724143,0.0184999,0.754395,0.67629,-0.027809,-0.0337806,-0.0838944,-0.0476758,-0.0610366,-0.0366615,-0.0403908,-0.0277319,-0.0263803,-0.0209646,-0.00310113,-0.00517574
-13.7982,1,0.679801,3,7,0,16.4636,0.758334,1.16426,1.03541,0.796702,2.74256,2.51754,0.0873139,0.0882582,0.292695,0.312489,0.2189,0.231946,0.144859,0.146957,0.0942383,0.0903713,0.0611489,0.055225,0.00701814,0.0046678,0.755968,0.773204,-0.0274277,-0.0222271,-0.084918,-0.0971556,-0.0617417,-0.0703211,-0.040706,-0.0443596,-0.0264666,-0.0272541,-0.00303871,-0.00230702
-12.4101,1,0.679801,3,7,0,14.552,1.05464,1.28455,0.839745,0.757659,2.49334,2.69634,0.0883606,0.0875067,0.314757,0.296579,0.233462,0.221435,0.147154,0.145325,0.089856,0.0935677,0.0544883,0.060058,0.00442562,0.0065243,0.775081,0.759477,-0.0215373,-0.0265241,-0.0986079,-0.0872558,-0.07136,-0.0633586,-0.044781,-0.0414199,-0.0273183,-0.0266516,-0.00222269,-0.00289665
-13.5459,0.881964,0.679801,3,7,0,15.9638,1.11588,1.01718,0.722646,0.819002,3.98156,3.44305,0.0823539,0.0844609,0.214775,0.243329,0.169301,0.187368,0.129449,0.136499,0.0988829,0.0991171,0.0755318,0.0719586,0.0196413,0.014512,0.667709,0.704729,-0.0334326,-0.0338869,-0.0450105,-0.0580608,-0.0348569,-0.0436247,-0.0266371,-0.0317358,-0.020347,-0.0230427,-0.00529105,-0.00464708
-13.8235,0.907655,0.679801,3,7,0,16.4739,1.38516,0.951401,0.897187,0.633654,4.11928,3.36056,0.0818267,0.0847901,0.208465,0.248335,0.165281,0.190531,0.127653,0.13756,0.0985226,0.0989266,0.0760381,0.0711243,0.0208212,0.0136616,0.658558,0.710577,-0.0329401,-0.0336557,-0.0423727,-0.0605375,-0.0330595,-0.045278,-0.0255223,-0.0326372,-0.0196978,-0.0234685,-0.00539379,-0.0045079
-12.7272,1,0.679801,2,3,0,15.3432,1.56737,0.854405,0.712171,0.73211,3.14524,3.19071,0.085658,0.0854737,0.262334,0.25926,0.199399,0.197447,0.140267,0.139705,0.0980306,0.0982732,0.0684732,0.0690951,0.0113814,0.011869,0.726074,0.722774,-0.0325037,-0.0328208,-0.0677626,-0.0661384,-0.0501065,-0.0490194,-0.0351681,-0.0346111,-0.0245737,-0.0243423,-0.00408471,-0.00418159
-13.223,0.98165,0.679801,2,3,0,13.7335,1.62463,0.912243,0.696099,0.706409,3.39727,3.48853,0.0846434,0.0842801,0.246084,0.240648,0.189109,0.185675,0.137089,0.135909,0.0990207,0.0991909,0.0715069,0.0723807,0.0140418,0.0149745,0.707969,0.701524,-0.0337714,-0.033972,-0.0594169,-0.0567572,-0.04453,-0.0427541,-0.0322317,-0.0312538,-0.0232789,-0.0228083,-0.00457133,-0.00471874
