# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = sample4.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.61411
# Diagonal elements of inverse mass matrix:
# 0.0564818, 0.0707226, 0.064532, 0.0906383, 0.0292647, 0.0278412
-13.3727,0.921227,0.61411,3,7,0,14.0833,0.930924,0.848287,0.708639,0.541564,2.44487,3.57204,0.0885662,0.0839495,0.319384,0.235864,0.236572,0.182654,0.147529,0.134821,0.0887574,0.0992737,0.0529475,0.0730897,0.00394917,0.0158108,0.778854,0.695678,-0.0200701,-0.0340569,-0.101603,-0.0544721,-0.0735181,-0.0412265,-0.045643,-0.0303954,-0.0274316,-0.02238,-0.00205094,-0.00484125
-16.0265,0.73509,0.61411,2,3,0,18.3517,0.96679,0.609736,0.73241,0.540656,2.80539,3.86879,0.0870526,0.0827891,0.287555,0.220218,0.215562,0.172758,0.144201,0.130927,0.0950602,0.0991028,0.0625388,0.0750105,0.00769512,0.0186337,0.751223,0.675297,-0.028535,-0.0337466,-0.0818738,-0.0473573,-0.0596496,-0.0364464,-0.0397635,-0.0276027,-0.0262004,-0.0208928,-0.00322465,-0.00519007
-11.8678,0.905623,0.61411,2,3,0,17.9841,1.266,1.29794,1.02133,0.727129,3.40929,3.1019,0.0845954,0.0858341,0.245355,0.265326,0.188648,0.201301,0.136935,0.140796,0.0990482,0.0977697,0.0716282,0.0678466,0.0141657,0.0109144,0.707117,0.729234,-0.0338047,-0.0321604,-0.0590565,-0.0693634,-0.0442894,-0.0511795,-0.0321004,-0.0357108,-0.0232169,-0.0247923,-0.00459158,-0.00398851
-13.3523,0.845175,0.61411,3,7,0,16.214,0.957006,1.02803,0.772077,1.19632,2.71278,3.28382,0.087438,0.085098,0.295187,0.253165,0.220525,0.193585,0.145161,0.138538,0.093813,0.0986779,0.0604531,0.0702622,0.00669954,0.0128579,0.758226,0.716062,-0.0268546,-0.0333426,-0.0864141,-0.0629806,-0.0627754,-0.0469091,-0.0411638,-0.0335088,-0.0265869,-0.0238645,-0.00294771,-0.00436726
-16.5772,0.796904,0.61411,3,7,0,18.4343,1.97101,1.61195,0.771004,0.462345,2.44768,3.29133,0.0885543,0.0850679,0.319113,0.252685,0.236389,0.193282,0.147508,0.138443,0.0888235,0.0987055,0.0530391,0.0703504,0.00397642,0.012937,0.778635,0.715524,-0.0201582,-0.0333777,-0.101427,-0.0627355,-0.0733902,-0.0467453,-0.0455924,-0.0334221,-0.0274257,-0.0238258,-0.00206098,-0.00438151
-14.4105,0.963849,0.61411,3,7,0,19.0004,2.0054,1.41836,0.763698,0.662426,3.001,3.41099,0.0862461,0.0845886,0.272536,0.245253,0.2059,0.188583,0.142001,0.136913,0.0970402,0.099052,0.0662507,0.0716452,0.0098206,0.0141832,0.736644,0.706996,-0.0311921,-0.0338093,-0.0733028,-0.0590057,-0.0538286,-0.0442556,-0.0370213,-0.0320819,-0.0252922,-0.0232081,-0.00374946,-0.00459442
