# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.661512
# Diagonal elements of inverse mass matrix:
# 0.0575947, 0.0646488, 0.0638189, 0.0835454, 0.0354917, 0.0240679
-13.3367,0.924137,0.661512,3,7,0,15.5728,1.17864,1.11046,0.903864,0.68678,3.24132,2.10301,0.0852692,0.0900348,0.255914,0.355598,0.195326,0.261744,0.139073,0.149247,0.0985079,0.0779004,0.0697466,0.0391187,0.0124083,0.00107506,0.719118,0.805993,-0.0331248,-0.0058778,-0.0643947,-0.126415,-0.0478537,-0.0923326,-0.0340057,-0.0525293,-0.0240831,-0.0273924,-0.0042846,-0.000779924
-13.2401,0.927187,0.661512,3,7,0,15.3264,1.02547,0.974858,0.928174,0.72577,3.09113,4.16235,0.085878,0.0816628,0.266079,0.206564,0.201781,0.164066,0.140926,0.127095,0.0977002,0.0983916,0.0676855,0.0761697,0.010798,0.0211788,0.730022,0.655721,-0.0320685,-0.0327653,-0.0697698,-0.0415951,-0.0514522,-0.0325272,-0.0358476,-0.0251874,-0.0248464,-0.0194989,-0.00396398,-0.00542161
-16.4791,0.848387,0.661512,2,7,0,18.5409,1.34082,0.672552,0.531907,0.525148,3.19113,3.28784,0.085472,0.0850819,0.259232,0.252907,0.197429,0.193422,0.1397,0.138487,0.0982753,0.0986928,0.0691007,0.0703096,0.0118735,0.0129004,0.722744,0.715774,-0.0328235,-0.0333616,-0.0661237,-0.062849,-0.0490095,-0.0468212,-0.034606,-0.0334622,-0.0243402,-0.0238438,-0.00418246,-0.00437491
-13.1943,0.942825,0.661512,2,3,0,18.5898,1.23464,1.4221,1.19539,0.53399,3.34316,3.58206,0.0848598,0.08391,0.249415,0.235303,0.191214,0.1823,0.137783,0.13469,0.0988765,0.0992793,0.0709364,0.0731693,0.0134804,0.0159099,0.711817,0.694981,-0.0335934,-0.0340613,-0.0610793,-0.0542072,-0.0456397,-0.0410493,-0.0328319,-0.0302948,-0.0235583,-0.0223288,-0.00447697,-0.00485517
-12.5016,0.957392,0.661512,3,7,0,15.9647,1.19649,1.19493,0.715065,0.865277,2.78222,2.66595,0.0871488,0.0876338,0.289432,0.299183,0.216779,0.22314,0.144447,0.145622,0.0947686,0.0930944,0.0620384,0.0593073,0.00744483,0.00620207,0.75297,0.761793,-0.0281423,-0.0258864,-0.0829789,-0.0888402,-0.0604074,-0.06446,-0.0401074,-0.0418991,-0.0263004,-0.0267676,-0.00315705,-0.00280085
-12.0058,0.985599,0.661512,3,7,0,13.7932,1.18727,0.907243,1.10896,0.662347,3.24244,3.6091,0.0852647,0.0838033,0.255841,0.233798,0.19528,0.181349,0.139059,0.134336,0.0985127,0.09929,0.0697607,0.0733786,0.0124202,0.0161763,0.719037,0.6931,-0.033131,-0.0340672,-0.0643567,-0.053501,-0.0478283,-0.0405765,-0.0339924,-0.0300252,-0.0240774,-0.0221909,-0.00428683,-0.00489199
