# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = lv.data.R
# init = 2 (Default)
# random
#   seed = 2072885
# output
#   file = sample2.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0149478
# Diagonal elements of inverse mass matrix:
# 0.0668223, 0.0820512, 0.0626457, 0.0812732, 0.593702, 0.707798, 0.58271, 0.762692, 0.0390059, 0.0436707, 0.254321, 0.0470141, 0.0303, 0.0324137, 0.285899, 0.221645
-17.8423,0.990223,0.0149478,7,127,0,23.2915,0.221296,1.51451,0.00744743,0.0577971,1.54261,0.266803,0.11189,0.0142759,17.1185,7.60448,31.2153,22.5716,0.726542,0.383304,0.446234,0.685854,16.1678,10.2865,14.0999,15.908,12.138,25.5326,11.0844,36.6647,10.9551,38.1192,11.5232,25.7107,12.5882,14.1641,13.9804,8.7611,15.4844,6.99583,16.7277,7.27249,17.1032,9.41573,16.0584,14.2045,13.9576,22.8458,12.0401,34.3017,11.0506,39.3222,10.973,29.2146,11.5784,16.3462,12.6695,9.63619,14.0763,7.20398,15.5771,7.04568,43.5765,19.5862,50.9326,18.006,46.9629,18.4473,36.4709,22.0887,26.5573,29.4137,19.8612,35.8352,16.3012,36.2016,15.3759,32.4591,17.0974,27.7339,22.2713,23.4674,31.9683,20.1948,44.3094,18.2348,51.0209,18.1008,46.3946,20.8401,35.7667,27.4377,26.0252,34.765,19.5454,36.6382,16.1664,33.5438,15.4026,28.8685,17.3125,24.4224
-21.1174,0.964131,0.0149478,6,63,0,28.3072,0.243937,1.62815,0.0078035,0.0632109,1.89145,0.253348,0.135215,0.0122393,18.3748,8.0159,30.3591,22.7026,0.661953,0.265633,0.420322,0.762498,17.0556,10.7495,13.6727,16.7438,11.116,27.4396,10.3606,40.5722,10.8773,43.2508,12.2044,29.2512,14.074,15.8282,16.205,9.58442,17.9909,7.54346,18.1234,7.80819,15.5412,10.1727,12.2355,15.5798,10.5607,25.5428,10.4807,38.8477,11.4218,44.1116,13.0337,31.74,15.0724,17.3304,17.1524,10.1733,18.3637,7.67813,17.2049,7.64505,51.9556,19.7149,63.0243,18.0316,49.7628,18.2488,31.498,21.5177,19.7501,28.4356,14.0808,34.7273,12.4931,35.249,14.588,31.7741,22.4268,27.3084,39.9877,23.2381,60.3297,20.0865,58.8843,18.1816,40.6113,18.0574,25.0484,20.7842,16.4619,27.2672,12.8945,34.1129,12.9655,35.5157,17.3324,32.4074,29.3751,27.9679,50.7421,23.7942
-18.1227,0.8833,0.0149478,8,255,0,29.1005,0.275211,1.58105,0.00934108,0.05026,1.30771,0.267066,0.0898758,0.0133466,18.4035,8.33689,29.5947,28.9478,1.25312,0.43063,0.384376,0.966764,17.4617,10.485,15.1119,15.4473,12.7994,24.3101,11.5163,35.6214,11.3161,39.8724,11.9563,29.6165,13.2177,17.1438,14.8991,10.5865,16.7074,8.26387,18.1042,8.37446,18.2662,10.6031,16.6773,15.6841,14.1594,24.6868,12.1795,35.9668,11.3261,39.7403,11.4712,29.1288,12.368,16.8166,13.8128,10.4506,15.586,8.23259,17.3206,8.41446,40.6634,25.065,47.8074,22.7296,45.067,22.5854,36.031,25.8099,26.9897,33.2151,20.6591,40.9243,17.2494,42.5766,16.4661,38.9805,18.4404,33.7312,23.9769,28.7925,33.6565,24.9557,44.2991,22.6831,47.9381,22.6323,42.0162,25.9986,32.4025,33.52,24.2516,41.1015,19.0533,42.5171,16.6542,38.8101,16.8554,33.5486,20.0454,28.6385
-19.0675,0.979337,0.0149478,8,255,0,27.0496,0.257452,1.68148,0.00960621,0.0707362,1.72741,0.257519,0.0926579,0.0151306,22.6555,6.4044,25.6498,21.3462,0.768763,0.410434,0.448636,1.07226,21.7796,8.48457,19.0834,13.2716,16.452,22.0963,15.2098,33.2969,15.3637,35.6844,16.5393,23.6833,18.3853,12.5677,20.5048,7.61031,22.2394,6.10206,22.5429,6.51105,20.6883,8.78644,17.7623,13.8891,15.696,23.0978,15.1285,34.1138,15.7928,35.0415,17.3151,22.428,19.3445,11.8995,21.3953,7.36843,22.6238,6.06936,21.9546,6.63232,36.3592,18.4184,43.2569,16.7119,39.5711,16.7876,30.1332,19.7612,21.8737,26.2746,16.9358,32.1365,15.1228,32.4054,16.2878,29.0018,21.1124,24.7945,30.3445,21.0396,40.5951,18.208,42.8389,16.6333,35.4769,16.9163,26.011,20.2183,19.2147,26.9436,15.7496,32.4032,15.2627,32.1935,17.9554,28.6255,24.7917,24.4258,35.3745,20.7405
-17.5025,0.996214,0.0149478,8,255,0,25.2927,0.216607,1.79286,0.00826502,0.082814,1.75143,0.209862,0.104656,0.0126056,19.9502,6.37029,29.1218,18.7946,0.885189,0.299301,0.282442,0.815366,18.6983,8.83612,16.5015,14.0164,14.6645,23.0999,13.866,33.9562,14.045,35.9058,14.9444,24.4495,16.322,13.2969,17.9205,7.86588,19.3572,5.88445,20.023,5.71336,19.2764,6.99863,17.2565,10.2599,15.1746,16.7098,14.0124,27.0302,13.8923,36.3399,14.5798,32.8834,15.8239,19.9294,17.3824,10.8478,18.9286,6.90225,19.932,5.65882,38.6791,16.7327,42.4483,15.6106,37.337,15.9231,28.5605,18.534,21.1933,23.718,16.6769,28.3503,14.8136,28.98,15.4158,26.7121,18.8838,23.5579,25.9839,20.5154,35.7403,17.9894,42.2386,16.2175,39.7938,15.5199,31.4992,16.5208,23.348,20.1113,17.8691,25.6537,15.1615,29.0427,14.9302,28.3968,17.3579,25.6451,23.1928,22.4588
-16.1948,0.997093,0.0149478,8,255,0,24.8736,0.352658,2.17183,0.00916085,0.0663229,1.20502,0.207937,0.0791779,0.0107618,22.2604,7.67528,28.4044,32.5759,1.05269,0.356756,0.391089,0.907735,22.2279,8.82061,17.5065,12.5495,12.3328,20.1809,9.89309,31.7249,9.60239,39.1671,10.6721,31.4375,12.7739,18.3772,15.7558,10.8756,19.2992,8.04496,22.3068,7.853,22.1674,9.85705,17.3699,14.8741,12.2448,24.2169,9.86634,35.7941,9.61365,38.0386,10.7094,26.2222,12.8331,14.8432,15.833,9.41209,19.3811,7.71964,22.3517,8.32655,51.0988,28.8599,75.5519,26.2244,72.7161,25.2987,51.6085,27.1188,33.1015,32.595,21.9708,39.2138,16.5538,41.5251,15.2694,39.265,18.3029,35.2053,28.7718,31.0897,51.7516,27.7179,75.8575,25.6328,72.3295,25.589,51.1096,28.7527,32.7653,35.26,21.7905,40.7484,16.4813,41.0606,15.2854,37.8313,18.4406,33.6147,29.1465,29.7101
