# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = lv.data.R
# init = 2 (Default)
# random
#   seed = 2531499930
# output
#   file = sample3.mpi.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1,z.2.1,z.1.2,z.2.2,z.1.3,z.2.3,z.1.4,z.2.4,z.1.5,z.2.5,z.1.6,z.2.6,z.1.7,z.2.7,z.1.8,z.2.8,z.1.9,z.2.9,z.1.10,z.2.10,z.1.11,z.2.11,z.1.12,z.2.12,z.1.13,z.2.13,z.1.14,z.2.14,z.1.15,z.2.15,z.1.16,z.2.16,z.1.17,z.2.17,z.1.18,z.2.18,z.1.19,z.2.19,z.1.20,z.2.20,z.1.21,z.2.21,z.1.22,z.2.22,z.1.23,z.2.23,z.1.24,z.2.24,z.1.25,z.2.25,z.1.26,z.2.26,z.1.27,z.2.27,z.1.28,z.2.28,z.1.29,z.2.29,z.1.30,z.2.30,z.1.31,z.2.31,z.1.32,z.2.32,z.1.33,z.2.33,z.1.34,z.2.34,z.1.35,z.2.35,z.1.36,z.2.36,z.1.37,z.2.37,z.1.38,z.2.38,z.1.39,z.2.39,z.1.40,z.2.40
# Adaptation terminated
# Step size = 0.0239685
# Diagonal elements of inverse mass matrix:
# 0.0787721, 0.21788, 0.090998, 0.0952679, 0.131218, 0.141071, 0.104899, 0.0445722, 0.00777484, 0.0905853, 0.0576248, 0.0343432, 0.027137, 0.0283114, 0.0342943, 0.0286988
34.2678,0.98792,0.0239685,7,127,0,-22.6934,1.61319,0.559168,0.0624155,0.0165114,0.264038,0.800748,0.0133102,0.250403,6.59012,5.31156,22.5244,24.562,0.215078,0.247035,0.31701,0.343371,9.06746,19.1461,14.7809,17.1516,25.7757,17.1362,40.8849,20.5071,45.2456,28.6328,28.9237,36.4828,14.1466,36.9081,8.01305,32.6173,6.17623,27.4458,6.47586,22.8828,8.74171,19.396,14.0872,17.262,24.5488,17.0283,39.6334,20.0161,45.8427,27.7722,30.6515,36.0548,15.0545,37.1384,8.33121,33.072,6.23917,27.8932,6.37644,23.2499,5.37744,43.5761,3.81935,63.2085,2.3353,60.2133,1.7173,44.2348,1.63854,29.9844,1.897,20.8278,2.46056,16.0309,3.35295,14.8006,4.51561,17.7393,5.48119,28.2417,5.09903,49.6159,3.36571,64.7964,2.1075,56.5866,1.6586,40.1955,1.67523,27.1944,2.00992,19.2479,2.65449,15.3923,3.62897,15.0764,4.81355,19.467,5.5606,32.7342
34.6549,0.981442,0.0239685,7,127,0,-28.0584,1.5314,0.451141,0.0899002,0.0141649,0.273175,0.941757,0.0138966,0.154794,7.2438,9.39511,14.6486,29.8465,0.30198,0.28573,0.317637,0.404657,9.93786,12.5248,15.8447,11.3471,26.5467,11.523,39.9189,13.9437,42.2744,19.225,27.3035,23.9646,14.091,24.0759,8.39395,21.2783,6.66993,17.9239,7.0633,14.9734,9.45396,12.7455,14.8618,11.4332,24.9199,11.401,38.4393,13.4742,43.1509,18.4624,29.4779,23.6006,15.2817,24.2872,8.82879,21.6947,6.75325,18.3355,6.91316,15.3098,8.53257,48.0075,6.16091,58.6502,4.37777,50.9142,3.69746,36.6495,3.76456,25.266,4.36098,18.364,5.42053,15.179,6.8873,15.2766,8.4991,19.6312,9.41021,31.164,8.36245,49.5075,5.96738,58.6346,4.28243,49.7651,3.67886,35.5245,3.79589,24.5197,4.43263,17.9652,5.5296,15.0592,7.02384,15.4509,8.62039,20.274,9.41022,32.543
33.3223,0.933709,0.0239685,8,255,0,-25.9949,1.84938,0.672933,0.0451738,0.0206277,0.225336,0.673661,0.0105258,0.129114,6.72492,9.75473,35.0714,23.1662,0.353131,0.412154,0.343216,0.248542,9.79005,30.4622,16.8228,27.8423,30.5285,28.3248,48.4063,34.3276,49.7227,47.1363,28.8132,57.231,13.5575,56.4956,7.67535,50.1533,5.96784,42.9164,6.33854,36.493,8.73194,31.4676,14.5125,28.2748,26.3337,27.8015,44.2877,32.1111,52.2929,43.5363,34.4478,55.6962,16.3008,57.4898,8.61919,51.9636,6.16731,44.7115,6.07563,38.0052,9.81034,43.7311,6.14893,63.6231,3.29946,58.2501,2.29442,42.0304,2.19232,28.4358,2.63619,19.692,3.63632,14.9514,5.34451,13.4967,7.79679,15.9703,10.0843,26.1873,9.26634,48.9528,5.39295,64.535,2.98474,55.1795,2.2209,38.9125,2.2409,26.2989,2.78911,18.4487,3.91813,14.4005,5.78559,13.6183,8.33521,17.199,10.2822,29.8085
35.1802,0.979129,0.0239685,7,127,0,-27.5797,1.46576,0.530265,0.059543,0.0168532,0.304795,0.778211,0.0142688,0.108783,6.20363,12.3166,21.2931,30.7693,0.268976,0.395194,0.283501,0.334493,8.55292,17.3915,14.2343,15.0064,25.8455,14.598,43.8939,17.6307,52.5373,26.6489,33.1926,37.0376,14.7315,37.814,7.77931,32.4318,5.8843,26.2661,6.26532,21.0718,8.7348,17.2394,14.6357,14.9347,26.6009,14.6471,44.7687,17.9127,52.1873,27.2259,32.0118,37.3263,14.1853,37.6341,7.60935,32.1271,5.85873,25.9866,6.33163,20.8537,10.5631,50.7242,6.85268,59.9507,4.5221,50.241,3.72943,35.7658,3.83408,24.6252,4.58326,17.7757,5.96477,14.4021,8.01005,14.0618,10.4944,17.6488,12.2602,28.399,11.0293,47.92,7.34207,60.0062,4.7436,52.2577,3.77722,37.7145,3.77721,25.9455,4.43812,18.524,5.72589,14.6993,7.67876,13.9114,10.1392,16.7991,12.1377,26.2482
31.998,0.997373,0.0239685,7,255,0,-27.2865,1.30709,0.476132,0.0312252,0.0144858,0.344364,0.88408,0.0180055,0.116969,6.88354,12.8673,38.3954,31.8507,0.220786,0.347818,0.349059,0.347711,8.64077,31.192,13.0248,26.7344,21.4624,25.6599,33.9401,29.8483,41.4926,42.5886,30.8482,59.3473,16.0387,63.5138,9.04237,55.8311,6.87748,45.4494,7.11843,36.4268,9.41099,29.8533,14.6297,26.1246,24.211,26.0738,36.858,32.0355,40.6141,46.8605,26.7717,61.893,13.6828,62.3383,8.21641,53.3415,6.75451,43.0843,7.46714,34.6028,11.0583,55.4116,7.14062,66.1985,4.74062,53.7004,3.98327,36.5164,4.16206,24.1172,5.00445,16.9259,6.48413,13.6029,8.61212,13.5059,11.1355,17.6976,12.8398,30.2804,11.3443,53.5171,7.42846,66.3723,4.86293,55.1324,4.00346,37.7805,4.12116,24.9167,4.91224,17.3512,6.33868,13.7527,8.41662,13.3832,10.9338,17.1199,12.7892,28.7982
30.8605,0.959313,0.0239685,7,255,0,-26.2538,1.78931,0.397592,0.0970851,0.0117306,0.222312,1.11964,0.0106796,0.144597,7.12163,11.841,15.9829,25.9752,0.391373,0.411971,0.267845,0.242803,10.0072,13.9902,16.4123,12.8462,28.398,12.9938,43.9507,15.3285,47.2559,20.3867,30.4885,24.9517,15.3899,25.3097,8.75773,22.9221,6.56454,19.867,6.57426,17.0359,8.45374,14.752,13.1113,13.2105,22.5178,12.727,37.5221,13.9914,48.7237,17.979,38.8149,23.4251,20.655,25.6516,10.8187,24.1122,7.15793,21.1753,6.35324,18.1899,11.5661,47.7767,8.56241,68.1283,5.80471,61.6127,4.69396,42.227,4.68894,26.8885,5.39135,18.0555,6.67391,14.0049,8.4775,13.5931,10.5669,17.5762,12.0366,29.9187,11.0439,53.876,7.78584,69.112,5.41313,57.3337,4.61502,38.0582,4.79658,24.3071,5.63956,16.7518,7.04999,13.5952,8.95486,14.0443,11.0202,19.4754,12.0922,34.6094
