# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = ./lv.data.R
# init = 2 (Default)
# random
#   seed = 2150931495
# output
#   file = sample3.stan.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0444008
# Diagonal elements of inverse mass matrix:
# 0.04729, 0.077416, 0.0541302, 0.0639309, 0.0519487, 0.0859423, 0.060847, 0.0695827, 0.0123393, 0.0358629, 0.017034, 0.034888, 0.02867, 0.0198103, 0.0357503, 0.027299
-9.54637,0.997552,0.0444008,6,63,0,16.9517,1.69307,2.04203,0.0520628,0.0803927,0.253557,0.205011,0.013935,0.0103978,6.12085,8.51701,28.7467,23.2872,0.307983,0.382617,0.927518,0.826674,8.34876,11.1439,13.5497,16.8955,23.5809,26.6996,37.2615,37.3249,40.9712,37.6659,26.2628,25.8233,13.0116,15.0705,7.45098,9.80586,5.77958,8.06837,6.08524,8.53616,8.24597,11.1962,13.3304,16.9975,23.1965,26.8501,36.888,37.4235,41.1819,37.5659,26.7847,25.6505,13.2822,14.9687,7.54611,9.76479,5.79704,8.06152,6.05124,8.55569,24.6114,20.9666,22.1477,19.6959,22.1189,20.0598,26.2336,22.8688,35.9445,27.8877,45.0799,31.7571,45.5277,31.8435,40.4771,29.4038,34.3452,26.2271,28.8937,23.2517,24.7144,20.9422,22.1922,19.6885,22.0704,20.0791,26.0255,22.9239,35.5991,27.9558,44.9218,31.7831,45.6248,31.8231,40.6602,29.364,34.5255,26.1854,29.042,23.2163
-9.80611,0.995986,0.0444008,7,127,0,12.1708,2.04715,1.56772,0.0713184,0.056429,0.206736,0.271807,0.0105947,0.0133142,6.0609,7.73071,26.7194,25.5823,0.330362,0.40107,0.993854,0.902204,7.91665,9.78125,12.6602,14.7107,22.4754,23.9697,37.73,36.8429,46.0148,43.137,32.5432,32.0152,16.3005,17.6003,8.74896,10.2852,6.19137,7.75473,5.9771,7.75494,7.60073,9.86273,11.9359,14.8809,21.0797,24.259,35.9975,37.1454,46.1631,43.0685,34.6536,31.6137,17.639,17.3343,9.2593,10.1791,6.33299,7.72915,5.9143,7.78039,23.355,21.8483,21.1092,19.5191,20.5645,19.1373,22.9486,21.8375,29.5674,28.8207,37.0062,36.7947,38.6986,38.7587,35.7079,35.3008,31.3431,30.2223,27.1431,25.4762,23.6772,21.7725,21.2875,19.4831,20.5105,19.1605,22.489,21.9565,28.6645,29.0359,36.4034,36.9325,38.814,38.7213,36.1483,35.1832,31.8311,30.097,27.5759,25.3708
-11.7237,0.981664,0.0444008,6,127,0,17.545,1.89833,1.58801,0.0846736,0.0544609,0.225132,0.275204,0.0128812,0.0122728,6.51042,6.48212,21.0118,24.5262,0.321264,0.368974,1.02803,0.763453,8.23436,9.38056,12.5094,16.2019,20.7169,30.0184,32.1189,50.0685,37.0906,54.8855,26.9819,31.4144,14.8193,13.7884,8.69944,7.50197,6.55647,5.84026,6.54966,6.35726,8.37151,9.03549,12.8029,15.4389,21.2221,28.589,32.6268,48.551,36.9237,55.8177,26.3086,33.4615,14.3902,14.6748,8.52749,7.7773,6.5148,5.88117,6.59292,6.24561,18.4077,20.4716,16.7398,18.0906,16.4749,18.0862,18.4749,22.4317,23.3866,33.5389,28.5542,43.7753,29.6724,43.2016,27.4048,37.1132,24.0689,30.5026,20.8701,24.9168,18.3035,20.7404,16.69,18.2089,16.5105,17.9638,18.6458,21.8439,23.6708,32.4654,28.7165,43.3449,29.6197,43.5528,27.255,37.6591,23.9066,31.0055,20.7298,25.3166
-16.8408,0.977872,0.0444008,6,63,0,21.6317,1.42348,1.80231,0.0791138,0.0577347,0.264068,0.262188,0.0143349,0.0134937,8.78863,6.20982,14.9309,28.9662,0.354155,0.419025,1.26945,1.03831,12.0233,8.10443,18.0754,13.0998,27.2028,23.4391,35.6816,38.8056,34.4228,44.1263,23.4021,27.7502,13.8724,13.2634,9.18893,7.56801,7.59185,6.06319,7.88608,6.75629,9.92569,9.79461,14.2898,16.8258,21.789,29.9375,31.4983,43.8924,36.7825,38.5361,30.0856,20.1168,18.5797,9.99531,11.3028,6.57731,8.20428,6.12399,7.51705,7.73254,13.2728,24.4813,12.5976,21.6325,13.3444,21.1416,16.1751,24.7159,20.8599,34.1361,24.3587,43.2301,24.2868,43.3496,21.8959,38.1174,18.9121,32.0546,16.1948,26.83,14.0973,23.0054,12.8349,21.0577,12.7142,22.0563,14.3004,28.1708,18.1236,38.9285,22.7829,44.3558,24.7464,41.3685,23.3972,35.4254,20.5863,29.6227,17.6549,24.9622
-18.7869,0.933388,0.0444008,6,127,0,28.7271,1.21791,1.65477,0.0955264,0.0731668,0.354806,0.234534,0.0171168,0.0138727,6.59895,6.2961,10.8189,19.4574,0.36073,0.393013,1.62931,0.933314,8.86916,8.71669,14.0879,13.8758,24.1722,23.0771,39.5245,34.4554,49.0763,36.8911,34.7516,24.8195,16.4336,13.1637,8.65676,7.70457,6.36695,5.81247,6.50112,5.75909,8.57954,7.22609,13.4783,10.8209,23.0673,17.8583,38.1372,28.8483,49.0981,37.6906,36.6328,31.9954,17.5586,18.2742,9.03697,9.85125,6.44847,6.47776,6.41694,5.601,8.63361,17.0374,7.32963,15.6987,7.07231,15.9647,8.51578,18.8526,13.0727,24.9216,19.3716,30.532,20.7466,31.1951,17.8223,28.3513,14.1475,24.5608,11.0472,21.0135,8.7876,18.1518,7.405,16.2209,7.04229,15.5783,8.29174,16.9788,12.5377,21.5251,18.9494,28.1419,20.8612,31.4915,18.1369,30.0426,14.4491,26.5049,11.2818,22.7494
-17.0038,0.979703,0.0444008,6,127,0,26.2472,1.33997,1.39761,0.0801513,0.0735513,0.347408,0.327382,0.0153043,0.0165178,6.04753,7.47529,15.3617,18.1131,0.320748,0.347842,1.20794,1.05031,7.76574,9.03267,12.4293,13.2544,22.4832,21.4925,40.4376,33.7558,57.0761,41.5838,43.3271,32.0461,18.9288,17.3938,8.94321,9.99223,6.17603,7.59285,6.21901,7.79392,8.40934,10.2124,13.9073,15.7365,25.4355,25.692,44.6642,38.0181,57.382,40.1183,37.6378,26.1016,15.917,13.8483,8.03659,8.71107,6.01391,7.41882,6.47163,8.39958,12.029,14.9178,9.87003,12.8682,9.02731,12.2789,10.2233,13.9255,15.5311,19.0334,24.7564,25.7835,27.7102,27.7526,23.8801,24.8432,18.8449,20.611,14.6002,16.8205,11.5013,14.0206,9.58507,12.4556,9.06141,12.5594,10.8652,15.3575,17.2733,21.6537,26.1449,27.2711,27.2608,27.0398,22.8602,23.3085,17.9087,19.125,13.8856,15.6639
