# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = TwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = TwoCptModel.data.R
# init = TwoCptModel.init.R
# random
#   seed = 3892749
# output
#   file = output_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHat.18,cHat.19,cHat.20,cHat.21,cHat.22,cHat.23,cHat.24,cHat.25,cHat.26,cHat.27,cHat.28,cHat.29,cHat.30,cHat.31,cHat.32,cHat.33,cHat.34,cHat.35,cHat.36,cHat.37,cHat.38,cHat.39,cHat.40,cHat.41,cHat.42,cHat.43,cHat.44,cHat.45,cHat.46,cHat.47,cHat.48,cHat.49,cHat.50,cHat.51,cHat.52,cHat.53,cHat.54,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,cHatObs.17,cHatObs.18,cHatObs.19,cHatObs.20,cHatObs.21,cHatObs.22,cHatObs.23,cHatObs.24,cHatObs.25,cHatObs.26,cHatObs.27,cHatObs.28,cHatObs.29,cHatObs.30,cHatObs.31,cHatObs.32,cHatObs.33,cHatObs.34,cHatObs.35,cHatObs.36,cHatObs.37,cHatObs.38,cHatObs.39,cHatObs.40,cHatObs.41,cHatObs.42,cHatObs.43,cHatObs.44,cHatObs.45,cHatObs.46,cHatObs.47,cHatObs.48,cHatObs.49,cHatObs.50,cHatObs.51,cHatObs.52,cHatObs.53,x.1.1,x.2.1,x.3.1,x.1.2,x.2.2,x.3.2,x.1.3,x.2.3,x.3.3,x.1.4,x.2.4,x.3.4,x.1.5,x.2.5,x.3.5,x.1.6,x.2.6,x.3.6,x.1.7,x.2.7,x.3.7,x.1.8,x.2.8,x.3.8,x.1.9,x.2.9,x.3.9,x.1.10,x.2.10,x.3.10,x.1.11,x.2.11,x.3.11,x.1.12,x.2.12,x.3.12,x.1.13,x.2.13,x.3.13,x.1.14,x.2.14,x.3.14,x.1.15,x.2.15,x.3.15,x.1.16,x.2.16,x.3.16,x.1.17,x.2.17,x.3.17,x.1.18,x.2.18,x.3.18,x.1.19,x.2.19,x.3.19,x.1.20,x.2.20,x.3.20,x.1.21,x.2.21,x.3.21,x.1.22,x.2.22,x.3.22,x.1.23,x.2.23,x.3.23,x.1.24,x.2.24,x.3.24,x.1.25,x.2.25,x.3.25,x.1.26,x.2.26,x.3.26,x.1.27,x.2.27,x.3.27,x.1.28,x.2.28,x.3.28,x.1.29,x.2.29,x.3.29,x.1.30,x.2.30,x.3.30,x.1.31,x.2.31,x.3.31,x.1.32,x.2.32,x.3.32,x.1.33,x.2.33,x.3.33,x.1.34,x.2.34,x.3.34,x.1.35,x.2.35,x.3.35,x.1.36,x.2.36,x.3.36,x.1.37,x.2.37,x.3.37,x.1.38,x.2.38,x.3.38,x.1.39,x.2.39,x.3.39,x.1.40,x.2.40,x.3.40,x.1.41,x.2.41,x.3.41,x.1.42,x.2.42,x.3.42,x.1.43,x.2.43,x.3.43,x.1.44,x.2.44,x.3.44,x.1.45,x.2.45,x.3.45,x.1.46,x.2.46,x.3.46,x.1.47,x.2.47,x.3.47,x.1.48,x.2.48,x.3.48,x.1.49,x.2.49,x.3.49,x.1.50,x.2.50,x.3.50,x.1.51,x.2.51,x.3.51,x.1.52,x.2.52,x.3.52,x.1.53,x.2.53,x.3.53,x.1.54,x.2.54,x.3.54,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16,cObsPred.17,cObsPred.18,cObsPred.19,cObsPred.20,cObsPred.21,cObsPred.22,cObsPred.23,cObsPred.24,cObsPred.25,cObsPred.26,cObsPred.27,cObsPred.28,cObsPred.29,cObsPred.30,cObsPred.31,cObsPred.32,cObsPred.33,cObsPred.34,cObsPred.35,cObsPred.36,cObsPred.37,cObsPred.38,cObsPred.39,cObsPred.40,cObsPred.41,cObsPred.42,cObsPred.43,cObsPred.44,cObsPred.45,cObsPred.46,cObsPred.47,cObsPred.48,cObsPred.49,cObsPred.50,cObsPred.51,cObsPred.52,cObsPred.53
# Adaptation terminated
# Step size = 0.191578
# Diagonal elements of inverse mass matrix:
# 0.000407282, 0.0074551, 0.0149216, 0.00480558, 0.0206605, 0.0116929
81.5178,0.969071,0.191578,4,15,0,-78.7223,4.86646,8.34134,16.3433,82.5395,0.969744,0.111547,4.86646,8.34134,16.3433,82.5395,0.969744,0,365.993,683.554,950.841,1525.83,1839.37,1974.66,1933.31,1701.85,1168.09,782.043,431.303,327.903,267.268,632.443,949.185,1215.67,1788.26,2099.46,2232.43,2186.57,1950.71,1408.45,1014.24,648.035,530.222,443.579,560.263,637.486,688.592,722.415,744.8,759.614,769.418,775.907,780.201,783.043,784.924,786.168,1149.86,1465.11,1730.12,2298.32,2605.14,2733.79,2679.37,2435.11,1876.47,1466.43,1070.17,924.292,786.992,639.537,520.27,365.993,683.554,950.841,1525.83,1839.37,1974.66,1933.31,1701.85,1168.09,782.043,431.303,327.903,267.268,632.443,949.185,1215.67,1788.26,2099.46,2232.43,2186.57,1950.71,1408.45,1014.24,648.035,530.222,443.579,560.263,637.486,688.592,722.415,744.8,759.614,769.418,775.907,780.201,783.043,784.924,786.168,1149.86,1465.11,1730.12,2298.32,2605.14,2733.79,2679.37,2435.11,1876.47,1466.43,1070.17,924.292,786.992,639.537,520.27,80000,0,0,73813.2,5981.51,129.497,68038.9,11171.5,497.612,62777.1,15539.8,1059.49,49262.1,24937.1,3639.09,38656.7,30061.3,7051.37,30334.4,32272.4,10827.8,18679.2,31596.6,18343,11502.2,27813.8,24860.4,4361.41,19090.4,33771,1653.76,12781.1,38115.9,237.774,7048.9,39695.7,34.1866,5359.01,37990.6,0.706705,4368.03,33326.2,73813.9,10336.2,33361.3,68039.5,15512.8,33634.1,62777.7,19868,34102.1,49262.5,29226.1,36400.2,38657,34312,39533.1,30334.7,36485.2,43032.3,18679.4,35735.6,49999.7,11502.3,31881,55978.2,4361.45,23018.6,63837.6,1653.78,16575.9,67166.3,237.776,10591,66814.9,34.1869,8665.56,63306.9,0.706712,7249.52,55388.2,0.706712,9156.52,69989.1,0.706712,10418.6,79652.1,0.706712,11253.8,86047.2,0.706712,11806.6,90279.5,0.706712,12172.5,93080.5,0.706712,12414.6,94934.2,0.706712,12574.8,96161,0.706712,12680.8,96972.9,0.706712,12751,97510.3,0.706712,12797.5,97865.9,0.706712,12828.2,98101.2,0.706712,12848.6,98257,73813.9,18792.5,98107,68039.5,23944.7,98193,62777.7,28275.9,98476.9,49262.5,37562,100224,38657,42576.5,102810,30334.7,44679,105768,18679.4,43789.7,111665,11502.3,39797.7,116592,4361.45,30667.7,122402,1653.78,23966.3,123751,237.776,17490.1,119637,34.1869,15105.9,112617,0.706712,12862,98360.1,0.00210047,10452.1,80025.5,6.24296e-06,8502.9,65102.1,387.524,738.746,711.359,1515.08,1650.52,1961.34,1716.67,1619.69,1202.74,882.083,347.563,392.956,260.446,556.224,1134.81,1410.69,1523.76,2097.4,1804.94,2265.09,1628.49,1236.12,896.765,581.8,526.712,418.027,562.701,666.417,613.447,695.708,808.538,873.984,696.757,855.245,817.174,809.291,779.852,1056.57,1176.88,1433.59,1693.17,2522.13,2527.51,2752.69,2298.72,2602.23,1766.65,1641.97,1103.12,1257.57,748.956,673.075,531.018
82.0692,0.990211,0.191578,4,31,0,-78.4521,4.76964,7.36101,20.1484,75.9955,1.15667,0.0821195,4.76964,7.36101,20.1484,75.9955,1.15667,0,354.402,662.565,922.662,1486.62,1801.26,1945.55,1933.3,1732.24,1236.45,856.011,476.865,347.851,270.629,624.111,931.353,1190.55,1751.85,2063.91,2205.7,2188.6,1982.89,1478.25,1089.43,694.583,551.013,447.584,564.536,641.831,692.916,726.679,748.994,763.742,773.489,779.931,784.189,787.003,788.862,790.092,1142.09,1447.83,1705.55,2262.43,2570.1,2707.54,2681.85,2467.71,1946.62,1541.91,1116.89,945.153,790.904,640.683,520.811,354.402,662.565,922.662,1486.62,1801.26,1945.55,1933.3,1732.24,1236.45,856.011,476.865,347.851,270.629,624.111,931.353,1190.55,1751.85,2063.91,2205.7,2188.6,1982.89,1478.25,1089.43,694.583,551.013,447.584,564.536,641.831,692.916,726.679,748.994,763.742,773.489,779.931,784.189,787.003,788.862,790.092,1142.09,1447.83,1705.55,2262.43,2570.1,2707.54,2681.85,2467.71,1946.62,1541.91,1116.89,945.153,790.904,640.683,520.811,80000,0,0,72676.8,7140.63,110.639,65947.7,13349.6,425.461,59910.9,18590.1,906.584,44866.5,29952.9,3122.26,33599.9,36292.4,6068.7,25162.5,39199.7,9351.16,14111.9,38952.8,15965,7914.4,34901.8,21822.4,2489.33,24912.5,30171.7,782.971,17247.2,34614.6,77.4593,9608.05,36916.4,7.66304,7008.64,35758,0.0749992,5452.74,31571.6,72676.9,12574.8,31593.9,65947.8,18765.2,31819.4,59911,23987.7,32212.4,44866.5,35297,34163.7,33599.9,41584.5,36847.4,25162.5,44441.2,39868.7,14111.9,44096.7,45965.6,7914.4,39952,51313.5,2489.33,29784.4,58666.9,782.972,21950.3,62145.4,77.4593,13994.7,62612.9,7.66305,11102,59741.2,0.0749993,9018.1,52462.6,0.0749993,11374.5,66269.7,0.0749993,12931.8,75395.1,0.0749993,13961.1,81426.1,0.0749993,14641.4,85412.2,0.0749993,15091,88046.6,0.0749993,15388.2,89787.7,0.0749993,15584.5,90938.5,0.0749993,15714.3,91699,0.0749993,15800.1,92201.7,0.0749993,15856.8,92533.9,0.0749993,15894.3,92753.5,0.0749993,15919.1,92898.6,72676.9,23011.2,92745.4,65947.8,29171.4,92793.9,59911,34364.1,93012.5,44866.5,45584.2,94441.5,33599.9,51783.4,96607.4,25162.5,54552.5,99115.4,14111.9,54035,104199,7914.4,49720.3,108550,2489.33,39221.3,113962,782.972,31067.1,115565,77.4593,22503.5,112470,7.66305,19043.3,106273,0.0749993,15935.4,92994.5,7.26174e-05,12908.7,75631.2,7.03111e-08,10493.5,61486.3,314.408,597.195,954.012,1456.42,1781.24,1959.32,1819.29,1808.38,1335.3,895.485,492.105,356.318,241.907,513.941,897.107,1155.28,1559.98,1924.28,2152.58,1702.65,2049.99,1552.76,1074.44,787.522,549.792,426.981,597.207,665.923,773.95,766.241,769.317,743.626,785.639,764.199,894.57,732.189,830.023,692.196,1226.91,1570.27,1695.44,1714.39,2483.13,2500.65,2741.08,2331.4,2080.35,1278.66,1269.2,1050.81,701.287,595.707,529.387
81.7906,0.87986,0.191578,4,15,0,-80.0857,4.71786,7.36809,20.3321,75.2645,1.19707,0.0844026,4.71786,7.36809,20.3321,75.2645,1.19707,0,362.978,677.697,942.53,1513.09,1827.21,1967.59,1945.15,1736.1,1234.24,854.868,480.104,352.563,275.076,637.12,950.905,1214.82,1782.69,2094.19,2232.02,2204.66,1990.88,1480.01,1092.12,701.382,559.036,454.899,573.713,652.218,704.089,738.362,761.007,775.97,785.856,792.389,796.705,799.556,801.441,802.686,1163.22,1475.48,1737.9,2301.27,2608.31,2741.72,2705.63,2483.28,1955.7,1551.66,1130.25,959.285,803.508,650.816,528.975,362.978,677.697,942.53,1513.09,1827.21,1967.59,1945.15,1736.1,1234.24,854.868,480.104,352.563,275.076,637.12,950.905,1214.82,1782.69,2094.19,2232.02,2204.66,1990.88,1480.01,1092.12,701.382,559.036,454.899,573.713,652.218,704.089,738.362,761.007,775.97,785.856,792.389,796.705,799.556,801.441,802.686,1163.22,1475.48,1737.9,2301.27,2608.31,2741.72,2705.63,2483.28,1955.7,1551.66,1130.25,959.285,803.508,650.816,528.975,80000,0,0,72433.6,7380.12,113.473,65504.3,13779,435.963,59308.9,19163.6,928.152,43969.3,30764.4,3188.61,32597.1,37151.1,6183.64,24166.2,40005.2,9508.61,13282.1,39549.1,16176,7300.06,35298.7,22047.3,2205.18,25094.6,30358.3,666.136,17381.3,34744.7,60.7854,9761.54,36980.9,5.54671,7168.36,35803.8,0.0461857,5592.89,31608.8,72433.6,12954,31633.7,65504.3,19333.9,31866.8,59308.9,24700,32270.7,43969.3,36246,34266.4,32597.1,42579.3,36998.3,24166.2,45381.7,40061.7,13282.1,44825.4,46211.3,7300.06,40478.9,51572.2,2205.18,30091.8,58885.7,666.136,22205.1,62306.2,60.7854,14260.6,62704.9,5.54671,11366.4,59811.6,0.0461858,9249.07,52519.3,0.0461858,11664.8,66335.6,0.0461858,13261,75464.5,0.0461858,14315.6,81496.3,0.0461858,15012.5,85481.8,0.0461858,15472.9,88115.1,0.0461858,15777.1,89855,0.0461858,15978.1,91004.6,0.0461858,16111,91764.2,0.0461858,16198.7,92266.1,0.0461858,16256.7,92597.7,0.0461858,16295,92816.9,0.0461858,16320.3,92961.6,72433.6,23650.7,92811,65504.3,29999.7,92866.8,59308.9,35335.2,93096.2,43969.3,46789.7,94569,32597.1,53032.5,96782.5,24166.2,55745,99332,13282.1,55011.3,104467,7300.06,50490.4,108831,2205.18,39763.5,114201,666.136,31548.5,115743,60.7854,22980.4,112576,5.54671,19504.3,106354,0.0461858,16337,93057.3,3.50927e-05,13232.5,75672.8,2.6664e-08,10755.2,61511.7,382.569,635.219,831.39,1447.51,1972.35,2161.96,1747.1,1520.85,1250.68,893.415,407.257,359.071,265.814,659.889,1003.41,1202.01,1943.68,2154.47,2326.58,2022.36,1930.32,1411.97,1248,669.707,551.799,438.795,649.341,688.206,726.81,737.655,857.553,828.358,798.482,848.309,966.451,725.943,835.563,808.333,1231.87,1447.01,1941.8,2162.13,2721.83,2710.18,3134.46,2351.55,1870.6,1663.56,1048.21,979.741,753.756,694.834,548.806
82.9729,0.998301,0.191578,4,15,0,-80.9416,4.74972,7.30085,21.1208,72.7763,1.2004,0.0892728,4.74972,7.30085,21.1208,72.7763,1.2004,0,350.698,655.353,912.27,1468.62,1778.74,1921.31,1911.84,1718.17,1238.72,868.678,493.761,361.438,278.91,628.618,932.282,1188.23,1741.73,2049.08,2188.96,2174.32,1975.68,1486.82,1107.9,716.402,568.766,458.77,576.228,652.935,703.03,735.744,757.109,771.061,780.173,786.123,790.009,792.547,794.205,795.287,1143.48,1445.61,1700.05,2249.02,2551.89,2687.33,2663.91,2456.66,1951.02,1555.9,1133.7,957.454,795.994,640.506,517.546,350.698,655.353,912.27,1468.62,1778.74,1921.31,1911.84,1718.17,1238.72,868.678,493.761,361.438,278.91,628.618,932.282,1188.23,1741.73,2049.08,2188.96,2174.32,1975.68,1486.82,1107.9,716.402,568.766,458.77,576.228,652.935,703.03,735.744,757.109,771.061,780.173,786.123,790.009,792.547,794.205,795.287,1143.48,1445.61,1700.05,2249.02,2551.89,2687.33,2663.91,2456.66,1951.02,1555.9,1133.7,957.454,795.994,640.506,517.546,80000,0,0,72413.5,7407.03,108.594,65467.9,13841.6,417.433,59259.5,19267.9,889.149,43896.1,31018.5,3059.25,32515.7,37568.4,5941.7,24085.8,40579.6,9150.19,13215.9,40379.7,15611.4,7251.58,36289.2,21336.3,2183.25,26162.8,29522.2,657.318,18347.2,33917.2,59.5824,10428.6,36263.3,5.40083,7633.87,35154.5,0.0443758,5890.8,30976.1,72413.6,13276.9,30995.9,65467.9,19690.6,31214.9,59259.5,25096.4,31598.1,43896.1,36786.8,33502.4,32515.7,43278.3,36120.7,24085.8,46232.7,39066.5,13215.9,45923.4,45007.8,7251.58,41728.1,50220.1,2183.25,31402.9,57404.2,657.318,23399.7,60829.7,59.5824,15131,61333.4,5.40083,12012.8,58506.6,0.0443758,9689.59,51236.6,0.0443758,12170.4,64467.9,0.0443758,13790.5,73108.7,0.0443758,14848.6,78751.7,0.0443758,15539.5,82436.9,0.0443758,15990.8,84843.6,0.0443758,16285.4,86415.2,0.0443758,16477.9,87441.7,0.0443758,16603.6,88112,0.0443758,16685.6,88549.7,0.0443758,16739.2,88835.6,0.0443758,16774.3,89022.3,0.0443758,16797.1,89144.2,72413.6,24151.1,88992.8,65467.9,30532.4,89039.1,59259.5,35906.4,89252.1,43896.1,47501.2,90647,32515.7,53898,92760.2,24085.8,56758.5,95205.5,13215.9,56264,100159,7251.58,51886.7,104401,2183.25,41207.1,109695,657.318,32861.9,111296,59.5824,23944.6,108340,5.40083,20222.2,102291,0.0443758,16812,89223.8,3.30502e-05,13528,72141.3,2.46151e-08,10931,58299.7,354.726,564.377,965.699,1446.81,1855.68,1903.79,1863.88,1480.38,1286.48,908.61,503.363,301.746,327.65,711.697,931.694,1226.07,1773.93,1978.55,1908.22,2591.76,2057.44,1500.86,998.802,637.726,633.957,469.49,585.35,609.559,689.874,680.143,788.108,792.183,767.793,751.458,894.326,768.49,620.637,729.066,1288.27,1623.7,1582.38,2574.18,2742.81,3330.68,2517.75,3082.25,2420.12,1484.97,1137.02,827.891,733.398,662.863,465.256
84.2188,0.958694,0.191578,4,15,0,-82.2206,4.81939,7.42274,19.7379,77.5977,1.17064,0.105134,4.81939,7.42274,19.7379,77.5977,1.17064,0,365.655,682.678,949.401,1523.55,1838.58,1977.9,1949.84,1733.53,1219.82,835.088,461.251,337.855,264.92,629.695,945.837,1211.7,1783.3,2095.86,2232.77,2200.04,1979.24,1456.96,1064.1,674.981,537.401,438.899,554.223,630.666,681.338,714.926,737.19,751.948,761.731,768.216,772.514,775.363,777.252,778.504,1141.82,1456.49,1720.9,2288.16,2596.42,2729.05,2687.89,2458.81,1920.37,1511.9,1093.12,927.845,779.333,632.547,514.963,365.655,682.678,949.401,1523.55,1838.58,1977.9,1949.84,1733.53,1219.82,835.088,461.251,337.855,264.92,629.695,945.837,1211.7,1783.3,2095.86,2232.77,2200.04,1979.24,1456.96,1064.1,674.981,537.401,438.899,554.223,630.666,681.338,714.926,737.19,751.948,761.731,768.216,772.514,775.363,777.252,778.504,1141.82,1456.49,1720.9,2288.16,2596.42,2729.05,2687.89,2458.81,1920.37,1511.9,1093.12,927.845,779.333,632.547,514.963,80000,0,0,72592.6,7217.25,115.164,65794,13474.6,442.488,59702,18739.2,942.084,44554.1,30071.6,3236.61,33249.6,36289.8,6276.24,24813.3,39039.6,9649.26,13819.2,38485.8,16405.1,7696.28,34216.3,22339.8,2387.13,24076.7,30693.7,740.409,16482.9,35048.4,71.2299,9104.12,37171.8,6.85256,6668.54,35925.3,0.0634212,5228.97,31703.4,72592.7,12428.9,31730.2,65794.1,18668.8,31968.2,59702,23916.4,32379.7,44554.1,35198.6,34409.9,33249.6,41367.9,37186.9,24813.4,44070.1,40299.1,13819.2,43424.2,46538.6,7696.28,39066.1,51964.4,2387.13,28757.4,59324.1,740.409,21003,62716.2,71.2299,13322.7,63008.4,6.85257,10607.2,60050.9,0.0634212,8662.95,52739,0.0634212,10939.2,66682.7,0.0634212,12448,75925.5,0.0634212,13448.2,82052.1,0.0634212,14111.1,86113.2,0.0634212,14550.6,88805.2,0.0634212,14841.9,90589.6,0.0634212,15035,91772.4,0.0634212,15163,92556.4,0.0634212,15247.8,93076.2,0.0634212,15304,93420.7,0.0634212,15341.3,93649,0.0634212,15366,93800.4,72592.7,22537.1,93650.8,65794.1,28748,93710.8,59702,33967,93947,44554.1,45163.5,95452.1,33249.6,51247.8,97708.4,24813.4,53865.7,100304,13819.2,53053.4,105524,7696.28,48531.7,109948,2387.13,37904.1,115355,740.409,29841.7,116859,71.2299,21575.9,113565,6.85257,18313.7,107259,0.0634212,15382.4,93900.7,5.64686e-05,12485.1,76475.3,5.02781e-08,10164.3,62263.8,395.941,628.406,891.613,1481.03,2078.93,2224.91,1878.56,1497.9,1553.16,707.235,497.007,363.505,268.533,629.464,911.736,1285.85,1774.3,2201.72,2282.47,2129.78,1856.05,1345.46,1060.21,678.219,476.097,411.791,519.731,698.528,749.642,651.117,930.124,682.158,711.811,650.577,1009.11,718.468,787.691,679.204,1002.74,1641.06,2036.44,2500.27,2234.73,2185.98,2950.87,2751.01,1918.82,1701.59,1178.76,870.452,730.028,644.644,481.032
83.8792,0.998572,0.191578,4,15,0,-82.9989,4.8359,7.64871,19.1291,80.6384,1.07269,0.106928,4.8359,7.64871,19.1291,80.6384,1.07269,0,346.653,648.918,904.753,1462.48,1776.62,1922.74,1914.72,1715.3,1216.8,833.196,455.912,332.604,261.944,607.752,909.171,1164.18,1719.46,2031.22,2175.02,2162.5,1958.74,1451.96,1060.47,668.331,531.201,435.569,551.598,629.137,680.955,715.583,738.724,754.189,764.524,771.43,776.046,779.13,781.191,782.569,1126.93,1426.88,1680.45,2231.41,2538.9,2678.45,2657.54,2445.54,1922.68,1515.64,1093.93,929.151,783.489,638.772,522.16,346.653,648.918,904.753,1462.48,1776.62,1922.74,1914.72,1715.3,1216.8,833.196,455.912,332.604,261.944,607.752,909.171,1164.18,1719.46,2031.22,2175.02,2162.5,1958.74,1451.96,1060.47,668.331,531.201,435.569,551.598,629.137,680.955,715.583,738.724,754.189,764.524,771.43,776.046,779.13,781.191,782.569,1126.93,1426.88,1680.45,2231.41,2538.9,2678.45,2657.54,2445.54,1922.68,1515.64,1093.93,929.151,783.489,638.772,522.16,80000,0,0,73185.2,6631.14,112.405,66879.1,12413.2,432.654,61182,17307.1,922.716,46790.5,27975.8,3185.4,35784.2,33985.1,6204.08,27366.9,36780.3,9576.18,16006.4,36626.7,16391.2,9361.84,32812,22440.8,3202.56,23276.2,31059.3,1095.55,15938.3,35610.7,128.205,8721.17,37887.3,15.0029,6362.39,36653.2,0.205456,5010.75,32410.3,73185.4,11625.7,32433.9,66879.3,17391.6,32664.5,61182.2,22269.6,33066.1,46790.6,32891.6,35063.4,35784.3,38855.4,37818.4,27367,41606.1,40928.6,16006.4,41366.5,47225.1,9361.87,37468.9,52763.8,3202.57,27774.6,60383.7,1095.55,20285.7,63968.1,128.205,12784.5,64403.4,15.0029,10161.4,61446.8,0.205456,8332.02,54087,0.205456,10551.5,68573,0.205456,12034.8,78253.6,0.205456,13026,84723,0.205456,13688.4,89046.3,0.205456,14131.1,91935.4,0.205456,14426.9,93866.2,0.205456,14624.6,95156.4,0.205456,14756.7,96018.7,0.205456,14845,96594.9,0.205456,14904,96980,0.205456,14943.4,97237.3,0.205456,14969.8,97409.3,73185.4,21557,97252,66879.3,27294.9,97299.9,61182.2,32145.4,97521.6,46790.6,42684.8,98980,35784.3,48566.7,101201,27367,51236.2,103781,16006.4,50836.2,109031,9361.87,46780.9,113540,3202.57,36779.1,119152,1095.55,28992.7,120796,128.205,20925.9,117539,15.0029,17773.8,111130,0.205456,14987.4,97524.2,0.000329256,12219.1,79745.5,5.27652e-07,9988.43,65190.8,316.418,675.148,798.193,1621.32,1890.18,2102.3,1837.63,1339.42,1243.27,861.891,437.302,367.049,240.43,542.49,879.602,1079.84,2099.77,2228.61,2050.16,2122.64,1859.09,1389.72,1163.6,559.139,454.009,402.998,567.57,539.43,819.372,683.284,703.256,671.195,769.881,883.277,670.523,750.661,713.071,728.71,1130.53,1151.64,1689.38,2347.82,2425.95,2699.33,2567.01,2298.77,1694.66,1555.77,1081.31,809.701,803.532,715.785,466.399
